date_time,timestamp,fm0229,fm0209
2026-03-05T05:18:55.000Z,1772687935,,
2026-03-05T05:18:56.000Z,1772687936,,
2026-03-05T05:18:57.000Z,1772687937,,
2026-03-05T05:18:58.000Z,1772687938,,
2026-03-05T05:18:59.000Z,1772687939,,
2026-03-05T05:19:00.000Z,1772687940,,
2026-03-05T05:19:01.000Z,1772687941,,
2026-03-05T05:19:02.000Z,1772687942,,
2026-03-05T05:19:03.000Z,1772687943,,
2026-03-05T05:19:04.000Z,1772687944,,
2026-03-05T05:19:05.000Z,1772687945,,
2026-03-05T05:19:06.000Z,1772687946,,
2026-03-05T05:19:07.000Z,1772687947,,
2026-03-05T05:19:08.000Z,1772687948,,
2026-03-05T05:19:09.000Z,1772687949,,
2026-03-05T05:19:10.000Z,1772687950,,
2026-03-05T05:19:11.000Z,1772687951,,
2026-03-05T05:19:12.000Z,1772687952,,
2026-03-05T05:19:13.000Z,1772687953,,
2026-03-05T05:19:14.000Z,1772687954,,
2026-03-05T05:19:15.000Z,1772687955,,
2026-03-05T05:19:16.000Z,1772687956,,
2026-03-05T05:19:17.000Z,1772687957,,
2026-03-05T05:19:18.000Z,1772687958,,
2026-03-05T05:19:19.000Z,1772687959,,
2026-03-05T05:19:20.000Z,1772687960,,
2026-03-05T05:19:21.000Z,1772687961,,
2026-03-05T05:19:22.000Z,1772687962,,
2026-03-05T05:19:23.000Z,1772687963,,
2026-03-05T05:19:24.000Z,1772687964,,
2026-03-05T05:19:25.000Z,1772687965,,
2026-03-05T05:19:26.000Z,1772687966,,
2026-03-05T05:19:27.000Z,1772687967,,
2026-03-05T05:19:28.000Z,1772687968,,
2026-03-05T05:19:29.000Z,1772687969,,
2026-03-05T05:19:30.000Z,1772687970,,
2026-03-05T05:19:31.000Z,1772687971,,
2026-03-05T05:19:32.000Z,1772687972,,
2026-03-05T05:19:33.000Z,1772687973,,
2026-03-05T05:19:34.000Z,1772687974,,
2026-03-05T05:19:35.000Z,1772687975,,
2026-03-05T05:19:36.000Z,1772687976,,
2026-03-05T05:19:37.000Z,1772687977,,
2026-03-05T05:19:38.000Z,1772687978,,
2026-03-05T05:19:39.000Z,1772687979,,
2026-03-05T05:19:40.000Z,1772687980,,
2026-03-05T05:19:41.000Z,1772687981,,
2026-03-05T05:19:42.000Z,1772687982,,
2026-03-05T05:19:43.000Z,1772687983,,
2026-03-05T05:19:44.000Z,1772687984,,
2026-03-05T05:19:45.000Z,1772687985,,
2026-03-05T05:19:46.000Z,1772687986,,
2026-03-05T05:19:47.000Z,1772687987,,
2026-03-05T05:19:48.000Z,1772687988,,
2026-03-05T05:19:49.000Z,1772687989,,
2026-03-05T05:19:50.000Z,1772687990,,
2026-03-05T05:19:51.000Z,1772687991,,
2026-03-05T05:19:52.000Z,1772687992,,
2026-03-05T05:19:53.000Z,1772687993,,
2026-03-05T05:19:54.000Z,1772687994,,
2026-03-05T05:19:55.000Z,1772687995,,
2026-03-05T05:19:56.000Z,1772687996,,
2026-03-05T05:19:57.000Z,1772687997,,
2026-03-05T05:19:58.000Z,1772687998,,
2026-03-05T05:19:59.000Z,1772687999,,
2026-03-05T05:20:00.000Z,1772688000,,
2026-03-05T05:20:01.000Z,1772688001,,
2026-03-05T05:20:02.000Z,1772688002,,
2026-03-05T05:20:03.000Z,1772688003,,
2026-03-05T05:20:04.000Z,1772688004,,
2026-03-05T05:20:05.000Z,1772688005,,
2026-03-05T05:20:06.000Z,1772688006,,
2026-03-05T05:20:07.000Z,1772688007,,
2026-03-05T05:20:08.000Z,1772688008,,
2026-03-05T05:20:09.000Z,1772688009,,
2026-03-05T05:20:10.000Z,1772688010,,
2026-03-05T05:20:11.000Z,1772688011,,
2026-03-05T05:20:12.000Z,1772688012,,
2026-03-05T05:20:13.000Z,1772688013,,
2026-03-05T05:20:14.000Z,1772688014,,
2026-03-05T05:20:15.000Z,1772688015,,
2026-03-05T05:20:16.000Z,1772688016,,
2026-03-05T05:20:17.000Z,1772688017,,
2026-03-05T05:20:18.000Z,1772688018,,
2026-03-05T05:20:19.000Z,1772688019,,
2026-03-05T05:20:20.000Z,1772688020,,
